age,city,department,experience,id,name,performance_score,random_noise,risk_level,salary,success_probability
84,Mumbai,44,INVALID,1,Name_0,8,0.7343705857064385,0,75,0.03
,Delhi,510,92,2,Name_1,63,0.9163051123294418,0,67,INVALID
16,Bhubaneswar,33,54,3,Name_2,220,0.12030226523666299,0,76,0.11
340,,56,INVALID,4,Name_3,65,-0.934170755339855,0,99,0.43
39,Hyderabad,51,51,5,Name_4,23,0.558130207292476,0,65,0.64
7,Bhubaneswar,84,38,6,Name_5,,2.515553069446183,0,49,0.49
58,Bhubaneswar,12,18,7,Name_6,17,-0.26411700085641193,0,,0.64
53,Hyderabad,78,27,8,Name_7,57,1.2195862052287505,0,41,0.36
5,Bhubaneswar,78,78,9,Name_8,84,-1.054475202785184,0,1,0.49
69,Bhubaneswar,87,6,10,Name_9,21,0.74363482987088,0,17,0.89
47,Bhubaneswar,95,68,11,Name_10,52,0.7842197406727858,0,600,
74,Bhubaneswar,24,75,12,Name_11,59,-0.2316097027365598,0,79,0.21
66,,65,13,13,Name_12,16,-0.2468087175039611,0,83,0.7
89,Hyderabad,83,77,14,Name_13,68,-1.221822074431192,0,93,0.65
39,Hyderabad,21,INVALID,15,,59,-1.25934680051561,1,66,0.21
INVALID,Hyderabad,,58,16,Name_15,30,-0.4572210991439529,0,2,0.52
26,Bhubaneswar,,730,17,Name_16,56,-0.3123505078225249,1,200,0.94
19,Delhi,10,34,18,INVALID,27,0.6666789416024117,0,,
48,INVALID,,61,19,Name_18,710,1.5509067682996058,0,51,0.52
42,Bhubaneswar,48,INVALID,20,Name_19,59,0.5551439393479787,0,INVALID,0.7
75,Bhubaneswar,,56,21,Name_20,63,0.7871093719888516,0,54,0.62
4,Mumbai,,77,22,Name_21,98,0.9817160432357823,0,52,0.08
56,Delhi,18,27,23,Name_22,53,0.6855572336298429,0,,0.19
84,Mumbai,,16,24,Name_23,17,-1.137468401256303,0,72,0.94
25,Mumbai,,11,25,Name_24,81,0.4336893978708913,0,20,INVALID
85,Mumbai,39,12,26,,INVALID,-1.2433347903532936,0,71,0.63
7,,INVALID,19,27,Name_26,71,-1.0930289039289225,0,91,0.06
57,Bhubaneswar,61,75,28,Name_27,INVALID,-0.6616977982728679,0,23,0.85
52,Hyderabad,35,,29,Name_28,20,1.1556219879211669,1,50,0.04
INVALID,Hyderabad,88,7,30,Name_29,63,-1.2572676741130682,0,14,0.83
89,Delhi,96,30,31,Name_30,2,0.14520060875322235,0,18,0.37
41,Mumbai,18,11,32,Name_31,83,0.9108872960042288,0,70,0.4
50,,47,76,33,Name_32,35,-0.19028352400831802,0,22,0.5
,,3,640,34,Name_33,54,0.09067766857690203,0,,0.12
65,Bhubaneswar,,4,35,Name_34,32,2.108656755822869,0,98,0.91
6,INVALID,91,920,36,,22,0.8316195251232488,0,68,0.96
54,Hyderabad,37,87,37,Name_36,15,0.4929821958951797,0,6,0.32
73,Bhubaneswar,90,80,38,Name_37,14,0.45118265499168464,0,1,0.44
84,,52,97,39,INVALID,13,-1.8893548105880682,0,5,
68,Hyderabad,24,81,40,,14,0.4447196219705357,0,88,0.22
41,Hyderabad,53,52,41,,40,0.34626276524333355,0,62,0.32
65,Hyderabad,5,41,42,Name_41,26,0.8489035472274712,0,41,0.76
72,Delhi,37,,43,Name_42,INVALID,0.41002208761302056,0,75,0.77
2,Bhubaneswar,,69,44,Name_43,57,-1.3721018410247472,0,69,0.57
26,,90,84,45,Name_44,,0.2708002336533516,0,3,0.92
750,Delhi,99,24,46,Name_45,92,-0.6531821401044619,0,,0.73
56,Hyderabad,38,42,47,Name_46,31,1.9701351168188508,0,58,0.5
,Delhi,,51,48,Name_47,36,-0.24848294575151628,0,INVALID,0.63
64,Mumbai,85,28,49,Name_48,,-0.3312021258150901,0,36,0.5
35,INVALID,180,,50,Name_49,INVALID,0.8154189613958435,0,10,INVALID
2,Delhi,43,11,51,Name_50,47,-0.3438599246488056,0,,0.59
25,Bhubaneswar,69,8,52,Name_51,75,0.8502010770463323,0,,0.54
77,Delhi,37,17,53,Name_52,16,1.880711626141225,0,71,0.11
,Delhi,26,50,54,Name_53,31,0.011620588026055636,1,85,
14,,63,25,55,Name_54,INVALID,-0.22945009367441804,0,,0.87
48,Bhubaneswar,11,,56,Name_55,33,-0.9232493277344411,0,39,INVALID
4,Hyderabad,7,27,57,Name_56,10,-0.16505305613470833,0,18,0.76
INVALID,Bhubaneswar,55,53,58,Name_57,92,-0.6297040958827121,0,64,0.58
39,INVALID,INVALID,28,59,Name_58,85,0.345662358170117,1,,0.27
15,Hyderabad,870,59,60,Name_59,52,-2.574533101531374,1,93,0.25
72,Mumbai,67,51,61,Name_60,10,0.2651940660946766,0,35,0.11
87,Bhubaneswar,58,,62,Name_61,32,0.28916172267514273,0,6,0.36
58,Bhubaneswar,27,86,63,Name_62,15,-1.9195688910629716,0,56,0.01
14,Delhi,39,15,64,Name_63,83,1.1377396518003726,0,21,0.9
84,Hyderabad,51,26,65,Name_64,,-0.20533338017960018,0,38,0.49
27,Delhi,,52,66,Name_65,90,0.9286649914560289,0,,0.07
5,Hyderabad,37,58,67,Name_66,64,-1.2326962448697278,0,INVALID,
47,Mumbai,86,67,68,Name_67,INVALID,-0.08034148880722457,0,40,0.33
54,Mumbai,91,34,69,Name_68,42,-1.2115384154564028,1,98,INVALID
56,Hyderabad,,700,70,Name_69,60,0.252507122176642,1,5,0.73
11,Mumbai,31,90,71,INVALID,,0.018309102448353206,0,49,
4,Mumbai,25,,72,Name_71,41,-0.02227213309607389,0,36,0.5
80,Mumbai,,55,73,Name_72,58,-0.9799622656501952,0,39,0.39
48,Mumbai,54,15,74,Name_73,99,-0.5740753589467185,0,46,0.23
36,Hyderabad,66,63,75,Name_74,78,-0.13852651472413963,0,460,0.25
89,Hyderabad,29,10,76,Name_75,63,-1.0910389172639379,0,98,0.99
76,Hyderabad,64,34,77,Name_76,86,0.08440352963310897,0,90,
20,,2,5,78,Name_77,20,-1.7137932293147573,0,,0.5
,Hyderabad,55,1,79,Name_78,41,-0.7280837413531515,0,69,0.76
68,Mumbai,2,,80,Name_79,80,-0.29346484654553057,0,6,INVALID
9,INVALID,33,24,81,Name_80,,0.23978942121337485,0,16,0.45
47,Bhubaneswar,77,46,82,Name_81,50,-0.6774174786954704,0,93,
75,Mumbai,64,44,83,Name_82,24,1.1621388338404934,0,89,0.26
58,Hyderabad,79,940,84,Name_83,26,0.2965582639611252,0,,
40,Delhi,750,45,85,Name_84,INVALID,-0.7753844118257838,0,INVALID,0.47
34,Delhi,57,54,86,Name_85,50,1.353918271111537,0,85,0.53
31,Mumbai,78,66,87,Name_86,92,0.8307533395492316,0,,0.62
34,INVALID,15,25,88,Name_87,88,-0.9301019883756827,0,,0.85
67,Mumbai,4,33,89,INVALID,7,0.186498928954637,0,11,0.37
34,Bhubaneswar,44,80,90,Name_89,78,0.21417918147243148,0,,0.75
,Bhubaneswar,74,14,91,Name_90,6,1.5597512800183644,0,22,0.98
71,Delhi,98,59,92,,,0.015407169069718838,0,18,0.33
21,Bhubaneswar,4,58,93,Name_92,32,0.08002789494550003,0,68,1
810,INVALID,55,47,94,Name_93,71,0.8850629139374783,0,,7.4
69,Mumbai,87,24,95,Name_94,INVALID,-0.2439891160003701,1,28,0.25
68,Delhi,4,77,96,Name_95,INVALID,0.24237321086003247,0,65,0.84
13,Mumbai,96,57,97,,85,0.015171332959849633,0,56,0.64
11,Delhi,INVALID,16,98,Name_97,91,0.15062211819741803,0,9,0.74
67,Mumbai,16,86,99,,INVALID,0.1097500606328546,0,49,0.81
42,Delhi,2,70,100,Name_99,75,-0.027221953218005086,0,22,0.87
66,Hyderabad,,34,101,Name_100,57,-0.39298037295114907,0,75,0.97
27,,17,330,102,Name_101,72,2.4011969422024317,0,,0.46
19,Mumbai,67,36,103,Name_102,7,1.125321389477409,0,49,0.24
78,Delhi,35,41,104,Name_103,80,0.8556314804398764,0,89,0.87
,Delhi,67,890,105,Name_104,53,1.2958843272818679,0,86,0.52
27,Delhi,,50,106,Name_105,78,-1.673872123159433,0,50,
5,Delhi,,50,107,Name_106,67,-0.853523561867675,1,89,0.38
89,Hyderabad,56,21,108,Name_107,,0.5533501583653062,0,87,
79,Delhi,65,,109,Name_108,66,-1.6620397490355636,0,4,0.61
INVALID,Hyderabad,76,63,110,,78,-0.6134069479037872,0,92,0.53
42,Mumbai,40,74,111,,,0.7079560292935013,0,84,
23,Hyderabad,21,4,112,INVALID,41,1.4011180078982894,0,90,0.75
86,,98,41,113,,13,-1.3270519043129803,0,9,
45,Hyderabad,85,62,114,Name_113,82,-1.1346533495857616,0,19,0.95
40,Delhi,28,75,115,Name_114,69,-0.846193126312198,0,65,0.35
63,Hyderabad,90,,116,Name_115,53,-0.5256885758357632,0,2,0.54
21,Bhubaneswar,21,67,117,Name_116,36,0.8269883233974479,1,73,0.13
17,Bhubaneswar,43,87,118,Name_117,980,-1.6943426544771485,0,50,0.92
10,Hyderabad,65,48,119,Name_118,,-0.20761333293432552,0,370,0.99
72,Mumbai,13,59,120,Name_119,74,-0.988780333998878,0,84,0.62
50,Delhi,86,59,121,Name_120,61,-1.3085357577802794,0,60,0.3
57,Delhi,11,47,122,Name_121,57,-0.4033533200766786,1,33,0.46
15,Mumbai,,66,123,Name_122,,0.785860445861105,0,20,0.74
20,Delhi,,10,124,Name_123,INVALID,-0.3957184857705901,0,290,0.47
12,Mumbai,72,99,125,Name_124,60,-0.6984319995931667,0,6,0.67
INVALID,,61,24,126,Name_125,14,0.8641428736124562,0,95,
22,Delhi,74,18,127,Name_126,290,0.8238995788334409,0,41,0.63
44,,,65,128,Name_127,91,0.30741055023977987,0,INVALID,INVALID
